04-30-2024 17:59:45 RAM 9238/62841MB (lfb 3x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@1728,0%@1728,0%@1728,0%@729,0%@729,11%@729,9%@729,off,off,off,off] GR3D_FREQ 64% cpu@47.687C tboard@36.375C soc2@44.031C tdiode@41.625C soc0@43.812C gpu@45.125C tj@47.656C soc1@43.968C VDD_GPU_SOC 11173mW/11426mW VDD_CPU_CV 399mW/453mW VIN_SYS_5V0 7672mW/7653mW VDDQ_VDD2_1V8AO 2520mW/2510mW
04-30-2024 17:59:46 RAM 9238/62841MB (lfb 3x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@729,0%@729,9%@729,11%@729,off,off,off,off] GR3D_FREQ 99% cpu@47.687C tboard@36.375C soc2@44.062C tdiode@41.625C soc0@43.875C gpu@45.625C tj@47.687C soc1@43.781C VDD_GPU_SOC 11572mW/11432mW VDD_CPU_CV 399mW/451mW VIN_SYS_5V0 7672mW/7654mW VDDQ_VDD2_1V8AO 2520mW/2511mW
04-30-2024 17:59:47 RAM 9238/62841MB (lfb 3x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@729,0%@729,0%@729,11%@729,off,off,off,off] GR3D_FREQ 99% cpu@47.75C tboard@36.375C soc2@44.125C tdiode@41.75C soc0@43.875C gpu@45.625C tj@47.75C soc1@44.062C VDD_GPU_SOC 11971mW/11455mW VDD_CPU_CV 399mW/448mW VIN_SYS_5V0 7887mW/7664mW VDDQ_VDD2_1V8AO 2620mW/2515mW
04-30-2024 17:59:48 RAM 9238/62841MB (lfb 3x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@1728,0%@1728,0%@729,1%@729,0%@729,11%@729,off,off,off,off] GR3D_FREQ 99% cpu@47.937C tboard@36.5C soc2@44.093C tdiode@41.75C soc0@43.812C gpu@46.062C tj@47.937C soc1@43.906C VDD_GPU_SOC 11971mW/11475mW VDD_CPU_CV 399mW/446mW VIN_SYS_5V0 7988mW/7677mW VDDQ_VDD2_1V8AO 2721mW/2523mW
04-30-2024 17:59:49 RAM 9234/62841MB (lfb 4x4MB) SWAP 0/31421MB (cached 0MB) CPU [4%@729,3%@729,4%@729,4%@729,5%@729,5%@729,7%@729,5%@729,off,off,off,off] GR3D_FREQ 99% cpu@47.812C tboard@36.5C soc2@44.218C tdiode@41.875C soc0@44.125C gpu@45.593C tj@47.812C soc1@44.093C VDD_GPU_SOC 11971mW/11494mW VDD_CPU_CV 399mW/445mW VIN_SYS_5V0 7874mW/7684mW VDDQ_VDD2_1V8AO 2620mW/2527mW
04-30-2024 17:59:50 RAM 9235/62841MB (lfb 4x4MB) SWAP 0/31421MB (cached 0MB) CPU [4%@1728,1%@1728,5%@1728,1%@1728,9%@729,1%@729,4%@729,5%@729,off,off,off,off] GR3D_FREQ 80% cpu@48.093C tboard@36.5C soc2@44.218C tdiode@41.875C soc0@43.843C gpu@45.656C tj@48.562C soc1@43.968C VDD_GPU_SOC 11971mW/11512mW VDD_CPU_CV 399mW/443mW VIN_SYS_5V0 7874mW/7691mW VDDQ_VDD2_1V8AO 2620mW/2530mW
04-30-2024 17:59:51 RAM 9235/62841MB (lfb 4x4MB) SWAP 0/31421MB (cached 0MB) CPU [5%@729,4%@729,4%@729,0%@729,13%@729,6%@729,3%@729,2%@729,off,off,off,off] GR3D_FREQ 99% cpu@48C tboard@36.625C soc2@44.187C tdiode@41.875C soc0@43.906C gpu@45.687C tj@48C soc1@43.937C VDD_GPU_SOC 11971mW/11528mW VDD_CPU_CV 399mW/441mW VIN_SYS_5V0 7988mW/7702mW VDDQ_VDD2_1V8AO 2620mW/2534mW
04-30-2024 17:59:52 RAM 9235/62841MB (lfb 4x4MB) SWAP 0/31421MB (cached 0MB) CPU [4%@729,0%@729,0%@729,0%@729,9%@729,7%@729,1%@729,0%@729,off,off,off,off] GR3D_FREQ 99% cpu@48C tboard@36.625C soc2@44.312C tdiode@41.875C soc0@43.968C gpu@46.125C tj@47.906C soc1@44C VDD_GPU_SOC 12370mW/11557mW VDD_CPU_CV 399mW/440mW VIN_SYS_5V0 7988mW/7712mW VDDQ_VDD2_1V8AO 2620mW/2537mW
04-30-2024 17:59:53 RAM 9235/62841MB (lfb 4x4MB) SWAP 0/31421MB (cached 0MB) CPU [1%@729,0%@729,2%@729,1%@729,10%@729,0%@729,4%@729,0%@729,off,off,off,off] GR3D_FREQ 99% cpu@48C tboard@36.625C soc2@44.375C tdiode@42C soc0@44.031C gpu@46.25C tj@48C soc1@44C VDD_GPU_SOC 11971mW/11571mW VDD_CPU_CV 399mW/438mW VIN_SYS_5V0 7874mW/7717mW VDDQ_VDD2_1V8AO 2620mW/2539mW
04-30-2024 17:59:54 RAM 9232/62841MB (lfb 3x4MB) SWAP 0/31421MB (cached 0MB) CPU [1%@729,2%@729,1%@729,1%@729,1%@729,1%@729,8%@729,12%@729,off,off,off,off] GR3D_FREQ 99% cpu@48.125C tboard@36.625C soc2@44.406C tdiode@41.875C soc0@44.093C gpu@45.812C tj@47.968C soc1@44.187C VDD_GPU_SOC 11971mW/11584mW VDD_CPU_CV 399mW/437mW VIN_SYS_5V0 7874mW/7722mW VDDQ_VDD2_1V8AO 2620mW/2542mW
